ticker
AA
AAL
AAPL
ADBE
AEO
AHT
AMC
AMD
AMTX
AMZN
ANF
APHA
ARCB
ASML
ATKR
AVGO
AVID
BGFV
BSET
BWMX
BXC
BYD
CAL
CAR
CERC
CIDM
CLF
CMBM
CMCSA
CME
CNC
COIN
COST
CPRI
CROX
CSCO
CSSE
CSU
CTO
CTRM
CTRN
CUBI
CVGI
CX
DAC
DDS
DKNG
DOCU
DXYN
EGLE
EGLX
EPIX
ESEA
ESTE
FAMI
FB
FCEL
FCX
FLL
FLXS
FNKO
FT
FUSE
FUTU
GDEN
GME
GOOG
GOOGL
GPS
GTIM
GTLS
HIBB
HOME
HOV
HRI
HVBTF
HYRE
HZO
IBM
INTC
INTT
JIH
JYNT
KIRK
LAZY
LB
LOB
LOVE
LPX
LSPD
MA
MDRR
MSFT
MT
NAKD
NAN
NESRW
NEXT
NFLX
NIO
NKLA
NMM
NOB
NOTV
NTP
NVDA
OCGN
OLN
ONEW
OPRX
ORGO
PEP
PFE
PLBY
PLUG
POW
PTIX
PYPL
REPX
RFP
RH
RICK
RILY
RRD
RVLV
SBLK
SCHN
SGRY
SHOP
SID
SIG
SLCA
SMTS
SNDL
SPLP
SPY
SQ
SQBG
STKS
TBBK
TBK
TGB
TIXT
TLRY
TMST
TMUS
TPL
TPR
TROX
TRQ
TSLA
TWI
TXN
UAN
UBER
UROY
VLI
VLRS
VOLT
WBT
WLMS
ZOM
